fold:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.92,0.82,0.83,0.87,0.87,0.89,0.83,0.82,0.79,0.83,0.88,0.9,0.88,0.81,0.85,0.85,0.84,0.88,0.86,0.79,0.83,0.88,0.81,0.87,0.86,0.89,0.85,0.78,0.81,0.91
Adiac,0.8286445012787724,0.8132992327365729,0.7723785166240409,0.7774936061381074,0.8286445012787724,0.8209718670076727,0.8056265984654731,0.7953964194373402,0.8005115089514067,0.8209718670076727,0.8005115089514067,0.8107416879795396,0.7647058823529411,0.8056265984654731,0.8056265984654731,0.8158567774936062,0.80306905370844,0.7902813299232737,0.7979539641943734,0.8286445012787724,0.80306905370844,0.8184143222506394,0.8337595907928389,0.80306905370844,0.7851662404092071,0.8132992327365729,0.8132992327365729,0.7902813299232737,0.8439897698209718,0.8107416879795396
ArrowHead,0.8628571428571429,0.8742857142857143,0.8857142857142857,0.9085714285714286,0.9142857142857144,0.8685714285714285,0.8914285714285715,0.8914285714285715,0.9085714285714286,0.9257142857142856,0.8742857142857143,0.8971428571428571,0.7828571428571428,0.8971428571428571,0.8971428571428571,0.8914285714285715,0.84,0.9085714285714286,0.9085714285714286,0.88,0.9485714285714286,0.9085714285714286,0.8685714285714285,0.9028571428571428,0.9257142857142856,0.9028571428571428,0.96,0.8742857142857143,0.9142857142857144,0.88
BME,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333332,1.0,0.9933333333333332,1.0,1.0,1.0,1.0,0.9933333333333332,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333332,1.0,1.0,1.0,1.0,1.0,0.9933333333333332,0.9933333333333332,0.9933333333333332
Beef,0.8,0.8,0.8,0.7,0.8333333333333334,0.6333333333333333,0.8666666666666667,0.7333333333333333,0.8666666666666667,0.8,0.7666666666666667,0.8333333333333334,0.8666666666666667,0.6666666666666666,0.9,0.6666666666666666,0.7333333333333333,0.6333333333333333,0.6333333333333333,0.8333333333333334,0.7333333333333333,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.8666666666666667,0.8333333333333334,0.7,0.6666666666666666
BeetleFly,0.9,0.95,0.8,0.9,0.95,0.9,1.0,0.9,0.8,1.0,0.9,0.95,0.8,0.75,0.75,0.9,0.8,0.85,0.95,0.9,0.85,0.9,0.85,0.95,0.8,0.85,0.9,0.8,0.8,0.95
BirdChicken,0.9,0.9,0.8,1.0,0.85,0.9,0.9,0.85,0.9,0.9,0.85,0.95,0.95,0.85,0.85,1.0,0.95,0.95,0.85,1.0,0.85,0.95,1.0,0.9,0.85,0.95,0.95,0.95,0.9,0.9
CBF,0.9988888888888888,0.9977777777777778,0.96,1.0,1.0,0.9833333333333332,0.9988888888888888,1.0,0.9977777777777778,0.9988888888888888,0.9911111111111112,0.9988888888888888,0.9966666666666668,1.0,0.9977777777777778,1.0,0.9966666666666668,0.9866666666666668,0.9911111111111112,0.9944444444444444,0.9655555555555556,1.0,0.9988888888888888,1.0,0.9988888888888888,1.0,1.0,0.9988888888888888,0.9955555555555556,0.9988888888888888
Car,0.9,0.9166666666666666,0.9,0.9166666666666666,0.9,0.9,0.8666666666666667,0.95,0.9,0.9,0.8833333333333333,0.9166666666666666,0.95,0.9333333333333332,0.8833333333333333,0.8833333333333333,0.9166666666666666,0.8833333333333333,0.8833333333333333,0.9166666666666666,0.85,0.9166666666666666,0.9666666666666668,0.9,0.95,0.9,0.9166666666666666,0.9,0.9,0.8666666666666667
Chinatown,0.9825072886297376,0.9650145772594751,0.979591836734694,0.9708454810495628,0.9620991253644317,0.9591836734693876,0.9650145772594751,0.9562682215743442,0.97667638483965,0.9620991253644317,0.9737609329446064,0.9650145772594751,0.979591836734694,0.9708454810495628,0.9708454810495628,0.9591836734693876,0.967930029154519,0.9620991253644317,0.9737609329446064,0.9562682215743442,0.9591836734693876,0.967930029154519,0.9620991253644317,0.9504373177842566,0.9620991253644317,0.9650145772594751,0.979591836734694,0.9620991253644317,0.9737609329446064,0.9620991253644317
